model,total_duration,load_duration,prompt_eval_duration,eval_duration,eval_count,prompt_eval_count
granite-code:8b,5601617442,7616105,33556000,5437080000,241,40
codestral:latest,118925052420,97237429637,83525000,21562503000,388,40
deepseek-coder-v2:latest,79267157625,70769971497,104612000,8308315000,599,39
gemma2:latest,61177418176,43771975841,43705000,17278546000,595,41
llama3:latest,46066196354,37966846009,30815000,7985900000,370,42
