model,total_duration,load_duration,prompt_eval_duration,eval_duration,eval_count,prompt_eval_count
codestral:latest,106863758554,97241183636,77512000,9503341000,173,25
deepseek-coder-v2:latest,73137570392,69937089310,82276000,3075413000,228,24
gemma2:latest,76152059591,63693754402,40497000,12334845000,429,26
llama3:latest,62483902036,56605795196,29140000,5806728000,268,26
